epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.623,1.10817,2.83411,1.49369,0.58586,0.48079,0.53063,0.36038,1.05514,1.92653,1.4552,0.0701807,0.00331325,0.00331325
2,236.846,1.16561,2.01384,1.4939,0.57744,0.5296,0.51114,0.332,1.19839,1.80605,1.63949,0.0401149,0.00658079,0.00658079
3,355.715,1.25293,1.95722,1.5938,0.47759,0.45876,0.42429,0.24829,1.38201,2.12598,1.77058,0.00998312,0.00978232,0.00978232
4,468.6,1.33641,1.95315,1.63701,0.49174,0.4579,0.43937,0.24827,1.45945,1.8971,1.84675,0.009703,0.009703,0.009703
5,590.695,1.32137,1.87852,1.6623,0.49968,0.39895,0.40411,0.23434,1.52864,1.92571,1.95755,0.009604,0.009604,0.009604
6,702.579,1.28751,1.75636,1.62783,0.62744,0.49878,0.53099,0.33554,1.31981,1.60066,1.73008,0.009505,0.009505,0.009505
7,820.229,1.29739,1.73866,1.64418,0.53745,0.48789,0.47148,0.29453,1.2726,1.68601,1.67846,0.009406,0.009406,0.009406
8,932.825,1.26551,1.63048,1.59339,0.63169,0.51375,0.55674,0.35911,1.23977,1.55514,1.64196,0.009307,0.009307,0.009307
9,1051.9,1.24244,1.61711,1.60936,0.5327,0.50282,0.49194,0.31285,1.2956,1.64433,1.6975,0.009208,0.009208,0.009208
10,1172.8,1.23847,1.57658,1.60365,0.61511,0.53873,0.56377,0.377,1.18729,1.50493,1.62039,0.009109,0.009109,0.009109
11,1296.06,1.21181,1.5461,1.59271,0.55281,0.51897,0.51116,0.32564,1.24975,1.62462,1.69676,0.00901,0.00901,0.00901
12,1410.01,1.205,1.50674,1.57299,0.68657,0.5642,0.60282,0.40986,1.17222,1.35202,1.5974,0.008911,0.008911,0.008911
13,1527.53,1.21105,1.46987,1.58248,0.60977,0.55014,0.55522,0.36898,1.21706,1.43874,1.65206,0.008812,0.008812,0.008812
14,1646.6,1.17602,1.42885,1.54761,0.62962,0.55241,0.59436,0.40044,1.18518,1.40613,1.61639,0.008713,0.008713,0.008713
15,1761.14,1.15135,1.38983,1.53439,0.64212,0.60599,0.63822,0.42781,1.13005,1.29338,1.55862,0.008614,0.008614,0.008614
16,1880.24,1.15437,1.40076,1.5575,0.66567,0.58417,0.62812,0.42982,1.1486,1.29918,1.57275,0.008515,0.008515,0.008515
17,1997.23,1.14929,1.3905,1.54121,0.6803,0.58586,0.62573,0.43112,1.13868,1.29556,1.57398,0.008416,0.008416,0.008416
18,2115.79,1.13384,1.35019,1.52591,0.65479,0.54333,0.58134,0.40093,1.12485,1.41653,1.55693,0.008317,0.008317,0.008317
19,2231.58,1.13616,1.3439,1.52967,0.68472,0.59209,0.62473,0.4242,1.13914,1.30577,1.57989,0.008218,0.008218,0.008218
20,2347.84,1.12691,1.30409,1.51546,0.66691,0.5682,0.62257,0.42109,1.13272,1.30185,1.57273,0.008119,0.008119,0.008119
21,2465.56,1.11506,1.29675,1.51553,0.64827,0.61026,0.6278,0.42802,1.13498,1.27979,1.55987,0.00802,0.00802,0.00802
22,2576.92,1.09807,1.24623,1.48299,0.65894,0.60261,0.63311,0.44629,1.09155,1.23296,1.53186,0.007921,0.007921,0.007921
23,2691.34,1.08621,1.24925,1.48427,0.66352,0.6109,0.65936,0.43983,1.16159,1.21428,1.56336,0.007822,0.007822,0.007822
24,2805.7,1.10073,1.22061,1.48719,0.71436,0.64259,0.69211,0.48674,1.06039,1.11409,1.48366,0.007723,0.007723,0.007723
25,2919.98,1.08611,1.21078,1.46892,0.67878,0.63474,0.65874,0.44924,1.0939,1.18542,1.52617,0.007624,0.007624,0.007624
26,3035.08,1.06711,1.21222,1.47318,0.66734,0.61564,0.6589,0.45621,1.07748,1.18203,1.5334,0.007525,0.007525,0.007525
27,3146.45,1.07352,1.17551,1.46058,0.73734,0.62237,0.6911,0.48322,1.05403,1.11153,1.49458,0.007426,0.007426,0.007426
28,3263.89,1.05456,1.18011,1.46502,0.64834,0.62402,0.65847,0.46039,1.08885,1.19098,1.52081,0.007327,0.007327,0.007327
29,3378.66,1.05993,1.15747,1.46394,0.75399,0.62155,0.7109,0.49827,1.0568,1.06854,1.51255,0.007228,0.007228,0.007228
30,3490.55,1.06736,1.16658,1.4582,0.65615,0.62806,0.64904,0.45134,1.11262,1.24923,1.53768,0.007129,0.007129,0.007129
31,3606.21,1.05077,1.14554,1.4538,0.75841,0.57864,0.65514,0.46643,1.07426,1.20803,1.52344,0.00703,0.00703,0.00703
32,3724.15,1.03726,1.1267,1.45029,0.77363,0.58661,0.68396,0.4829,1.05518,1.11526,1.50071,0.006931,0.006931,0.006931
33,3842.94,1.04966,1.11933,1.44499,0.77886,0.61763,0.70862,0.49377,1.05577,1.08994,1.50638,0.006832,0.006832,0.006832
34,3953.75,1.03456,1.09307,1.42916,0.72042,0.639,0.70038,0.49254,1.04273,1.08078,1.44974,0.006733,0.006733,0.006733
35,4067.98,1.02664,1.07927,1.4379,0.71144,0.62169,0.67479,0.47901,1.04252,1.15435,1.49161,0.006634,0.006634,0.006634
36,4185.67,1.01703,1.06796,1.43265,0.74979,0.62295,0.70376,0.49935,1.04259,1.10057,1.48325,0.006535,0.006535,0.006535
37,4301.47,1.01257,1.08659,1.41505,0.72389,0.65316,0.71042,0.51014,1.03374,1.08179,1.47287,0.006436,0.006436,0.006436
38,4417.26,1.00443,1.05184,1.41472,0.73726,0.65445,0.71429,0.5096,1.02733,1.05076,1.46231,0.006337,0.006337,0.006337
39,4534.34,0.98984,1.03652,1.40856,0.73788,0.62055,0.68057,0.47209,1.07483,1.15942,1.49816,0.006238,0.006238,0.006238
40,4648.96,0.99854,1.02958,1.41267,0.72535,0.63244,0.6845,0.49285,1.02025,1.15009,1.4692,0.006139,0.006139,0.006139
41,4762.21,0.99078,1.02646,1.41587,0.72571,0.63198,0.6804,0.48257,1.04063,1.13266,1.48655,0.00604,0.00604,0.00604
